2026-02-13T08:00:00Z AUDIT LOGIN   USER=ADMIN01 TERMINAL=TSO001 SUCCESS
2026-02-13T08:05:00Z AUDIT ACCESS  DATASET=SYS1.PARMLIB USER=ADMIN01 READ
2026-02-13T08:10:00Z AUDIT CONFIG  KEY=log_level OLD=WARN NEW=INFO USER=ADMIN01
2026-02-13T09:00:00Z AUDIT SYSTEM  IPL COMPLETED SUCCESSFULLY
2026-02-13T09:05:00Z AUDIT LOGIN   USER=BATCH01 TERMINAL=INTERNAL SUCCESS
2026-02-13T10:00:00Z AUDIT SUBMIT  JOB=JOB001 USER=BATCH01 CLASS=A
2026-02-13T10:00:05Z AUDIT ACCESS  DATASET=PROD.DATA.INPUT01 USER=BATCH01 READ
2026-02-13T10:05:00Z AUDIT ACCESS  DATASET=PROD.DATA.OUTPUT01 USER=BATCH01 WRITE
2026-02-13T10:10:00Z AUDIT SUBMIT  JOB=JOB002 USER=BATCH02 CLASS=A
2026-02-13T10:12:00Z AUDIT ABEND   JOB=JOB002 USER=BATCH02 CODE=S0C7
2026-02-13T10:15:00Z AUDIT SUBMIT  JOB=JOB003 USER=BATCH01 CLASS=B
2026-02-13T10:20:00Z AUDIT LOGIN   USER=OPER01 TERMINAL=CONSOLE SUCCESS
2026-02-13T10:25:00Z AUDIT COMMAND CMD=DISPLAY,A,L USER=OPER01
